------------------------------------------
Script start.sh iniciado en: mar 05 ago 2025 21:06:43 CEST
------------------------------------------
Paso 1: Pausa inicial de 15 segundos...
Pausa completada.
Paso 2: Navegando al directorio del script...
Directorio actual: /home/pizero/estacion_meteo
Paso 3: Exportando la variable de entorno DISPLAY...
DISPLAY establecido a: :0
Paso 4: Intentando lanzar main.py con el Python del sistema...
Ruta de Python 3: /usr/bin/python3
2025-08-11 19:19:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:19:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:19:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:19:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:19:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:19:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:19:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:19:02 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 19:19:02 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 19:20:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:20:00 - root - INFO - Nuevo dato de temperatura añadido al historial. Tamaño actual: 14
2025-08-11 19:20:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:20:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:20:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:20:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:20:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:20:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:20:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:20:02 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 19:20:02 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 19:20:21 - root - INFO - Pantalla encendida por actividad.
2025-08-11 19:20:24 - root - INFO - Cambiando a página 1
2025-08-11 19:20:25 - root - INFO - Cambiando a página 2
2025-08-11 19:20:26 - root - INFO - Cambiando a página 0
2025-08-11 19:20:26 - root - INFO - Cambiando a página 1
2025-08-11 19:20:27 - root - INFO - Cambiando a página 2
2025-08-11 19:20:27 - root - INFO - Cambiando a página 0
2025-08-11 19:20:28 - root - INFO - Cambiando a página 1
2025-08-11 19:20:29 - root - INFO - Cambiando a página 2
2025-08-11 19:20:31 - root - INFO - Cambiando a página 0
2025-08-11 19:20:42 - root - INFO - Cambiando a página 1
2025-08-11 19:20:42 - root - INFO - Cambiando a página 2
2025-08-11 19:20:44 - root - INFO - Cambiando a página 0
